model,param,fold,test_recall,test_precision,test_pr_auc,test_roc_auc,test_pr_auc_adj,train_recall,train_precision,train_pr_auc,train_roc_auc,train_pr_auc_adj,time,n_estimators
XGBoost,"{'colsample_bylevel': 1, 'colsample_bytree': 1, 'early_stopping_rounds': 5, 'eta': 0.025, 'gamma': 0, 'lambda': 0.1, 'max_depth': 5, 'n_estimators': 2000, 'nthread': 1, 'scale_pos_weight': np.float64(21.440273037542664), 'seed': 4}",4,0.6578947368421053,0.5,0.6262174908883436,0.9671813203529054,0.5921920577915687,1.0,0.7024793388429752,0.9986757535291467,0.9999410712406609,0.9986754788267012,2.173308158000509,246
XGBoost,"{'colsample_bylevel': 1, 'colsample_bytree': 1, 'early_stopping_rounds': 5, 'eta': 0.025, 'gamma': 0, 'lambda': 0.1, 'max_depth': 5, 'n_estimators': 2000, 'nthread': 1, 'scale_pos_weight': np.float64(21.440273037542664), 'seed': 4}",5,0.8387096774193549,0.5777777777777777,0.748971398784079,0.9842170843139969,0.7523262889895874,1.0,0.8878787878787879,0.9999999999999999,1.0,1.0,3.5742526140002155,406
XGBoost,"{'colsample_bylevel': 1, 'colsample_bytree': 1, 'early_stopping_rounds': 5, 'eta': 0.025, 'gamma': 0, 'lambda': 0.1, 'max_depth': 5, 'n_estimators': 2000, 'nthread': 1, 'scale_pos_weight': None, 'seed': 4}",1,0.6086956521739131,0.9333333333333333,0.8187179129666984,0.985978722095812,0.8484305359429678,0.9874213836477987,1.0,0.9999216277979608,0.999996401997611,0.9999216277979609,1.1906149400001595,179
XGBoost,"{'colsample_bylevel': 1, 'colsample_bytree': 1, 'early_stopping_rounds': 5, 'eta': 0.025, 'gamma': 0, 'lambda': 0.1, 'max_depth': 5, 'n_estimators': 2000, 'nthread': 1, 'scale_pos_weight': None, 'seed': 4}",2,0.5384615384615384,0.7777777777777778,0.7911007097862669,0.9804445433967864,0.7593754145369771,0.9505494505494505,0.9942528735632183,0.9979939211991902,0.9999006465815887,0.9979937970146896,1.7185822190003819,128
XGBoost,"{'colsample_bylevel': 1, 'colsample_bytree': 1, 'early_stopping_rounds': 5, 'eta': 0.025, 'gamma': 0, 'lambda': 0.1, 'max_depth': 5, 'n_estimators': 2000, 'nthread': 1, 'scale_pos_weight': None, 'seed': 4}",3,0.35294117647058826,0.75,0.6912278780443296,0.9805189317106152,0.6764417472210806,0.9004524886877828,0.9851485148514851,0.9956596433484108,0.9997965927435386,0.9956592539961681,1.9755327889997716,134
XGBoost,"{'colsample_bylevel': 1, 'colsample_bytree': 1, 'early_stopping_rounds': 5, 'eta': 0.025, 'gamma': 0, 'lambda': 0.1, 'max_depth': 5, 'n_estimators': 2000, 'nthread': 1, 'scale_pos_weight': None, 'seed': 4}",4,0.3157894736842105,0.631578947368421,0.6319756623782925,0.9668010343778523,0.5983719884114149,0.9098039215686274,0.9789029535864979,0.9918608102554741,0.9995811848889824,0.9918603611026591,1.2034191389993794,137
XGBoost,"{'colsample_bylevel': 1, 'colsample_bytree': 1, 'early_stopping_rounds': 5, 'eta': 0.025, 'gamma': 0, 'lambda': 0.1, 'max_depth': 5, 'n_estimators': 2000, 'nthread': 1, 'scale_pos_weight': None, 'seed': 4}",5,0.6451612903225806,0.8333333333333334,0.7595368621778116,0.9831095112834002,0.7638906904511371,0.9556313993174061,0.9824561403508771,0.9976010306078151,0.9998886248482853,0.9976007025213377,1.7292135759998928,214
XGBoost,"{'colsample_bylevel': 1, 'colsample_bytree': 1, 'early_stopping_rounds': 5, 'eta': 0.025, 'gamma': 0, 'lambda': 0.5, 'max_depth': 2, 'n_estimators': 2000, 'nthread': 1, 'scale_pos_weight': np.float64(21.440273037542664), 'seed': 4}",1,0.8695652173913043,0.4878048780487805,0.8181157929063783,0.9881311112477706,0.8494516626156817,1.0,0.6235294117647059,0.9801468958161258,0.9991922484636528,0.9800710832124537,1.8061027099993225,768
XGBoost,"{'colsample_bylevel': 1, 'colsample_bytree': 1, 'early_stopping_rounds': 5, 'eta': 0.025, 'gamma': 0, 'lambda': 0.5, 'max_depth': 2, 'n_estimators': 2000, 'nthread': 1, 'scale_pos_weight': np.float64(21.440273037542664), 'seed': 4}",2,0.9230769230769231,0.5,0.6856798696085512,0.973987903076181,0.6361224328462693,1.0,0.5290697674418605,0.9473696962755597,0.9977946155676348,0.9473136819380069,1.6873841140004515,551
XGBoost,"{'colsample_bylevel': 1, 'colsample_bytree': 1, 'early_stopping_rounds': 5, 'eta': 0.025, 'gamma': 0, 'lambda': 0.5, 'max_depth': 2, 'n_estimators': 2000, 'nthread': 1, 'scale_pos_weight': np.float64(21.440273037542664), 'seed': 4}",3,0.9117647058823529,0.5,0.7488889180777349,0.9835615280594996,0.7374422628355514,1.0,0.5552763819095478,0.9729680143581307,0.9988914304522852,0.9729256662191273,2.705336814000475,860
XGBoost,"{'colsample_bylevel': 1, 'colsample_bytree': 1, 'early_stopping_rounds': 5, 'eta': 0.025, 'gamma': 0, 'lambda': 0.5, 'max_depth': 2, 'n_estimators': 2000, 'nthread': 1, 'scale_pos_weight': np.float64(21.440273037542664), 'seed': 4}",4,0.7894736842105263,0.4225352112676056,0.6064795931406158,0.9664968055978096,0.5696408402629486,1.0,0.5110220440881763,0.9328722072436966,0.9972001823985408,0.9327685845610812,3.209074246000455,719
XGBoost,"{'colsample_bylevel': 1, 'colsample_bytree': 1, 'early_stopping_rounds': 5, 'eta': 0.025, 'gamma': 0, 'lambda': 0.5, 'max_depth': 2, 'n_estimators': 2000, 'nthread': 1, 'scale_pos_weight': np.float64(21.440273037542664), 'seed': 4}",5,0.9354838709677419,0.43283582089552236,0.7904349831570646,0.9856938483547925,0.7953189771827645,1.0,0.5149384885764499,0.9318589243447858,0.9970732783303072,0.9318083379273399,2.678046273000291,784
XGBoost,"{'colsample_bylevel': 1, 'colsample_bytree': 1, 'early_stopping_rounds': 5, 'eta': 0.025, 'gamma': 0, 'lambda': 0.5, 'max_depth': 2, 'n_estimators': 2000, 'nthread': 1, 'scale_pos_weight': None, 'seed': 4}",1,0.5652173913043478,1.0,0.8254549665888601,0.9864091999262038,0.8526461304829238,0.6792452830188679,0.9391304347826087,0.9183343664355513,0.9951840738022251,0.9183276579017888,0.8735953840005095,302
