params_C,params_degree,params_gamma,tr_pr_auc_mean,tr_pr_auc_std,te_pr_auc_mean,te_pr_auc_std,adj_pr_auc_mean,adj_pr_auc_std,tr_roc_auc_mean,tr_roc_auc_std,te_roc_auc_mean,te_roc_auc_std,tr_recall_mean,tr_recall_std,te_recall_mean,te_recall_std,tr_precision_mean,tr_precision_std,te_precision_mean,te_precision_std,time_mean,time_std
100.0,2,0.01,0.9967,0.0032,0.6093,0.0686,0.5958,0.0858,0.9999,0.0002,0.94,0.0168,0.9892,0.0118,0.5768,0.0711,0.9945,0.0017,0.5897,0.0691,0.7373,0.5245
1.0,2,0.1,0.9967,0.0032,0.6093,0.0686,0.5958,0.0858,0.9999,0.0002,0.94,0.0168,0.9892,0.0118,0.5768,0.0711,0.9945,0.0017,0.5897,0.0691,0.622,0.2962
0.1,4,auto,0.9775,0.0027,0.6086,0.0932,0.5726,0.133,0.9984,0.0003,0.915,0.0219,0.7388,0.0129,0.4202,0.0768,0.9917,0.0017,0.7043,0.1244,0.469,0.1321
1.0,4,0.01,0.9708,0.0045,0.6072,0.0895,0.572,0.1311,0.9978,0.0006,0.9145,0.0188,0.7121,0.0107,0.3995,0.0875,0.9903,0.0037,0.6987,0.1265,0.4696,0.1325
0.1,4,0.01,0.8825,0.0076,0.5937,0.0655,0.5728,0.0971,0.9874,0.0029,0.9034,0.0061,0.4419,0.0264,0.2724,0.1132,0.9762,0.0085,0.8021,0.0741,0.4549,0.1165
50.0,2,auto,0.9994,0.0013,0.5923,0.0759,0.576,0.0996,1.0,0.0,0.9361,0.015,0.9986,0.0031,0.5792,0.0496,0.9976,0.0022,0.592,0.0577,0.903,0.4837
0.05,4,0.01,0.8497,0.0129,0.5887,0.0496,0.569,0.0835,0.9829,0.0036,0.9008,0.013,0.353,0.0166,0.2273,0.0851,0.9856,0.0199,0.8288,0.1106,0.4722,0.133
100.0,2,auto,1.0,0.0,0.5868,0.0775,0.5721,0.1007,1.0,0.0,0.9353,0.0143,1.0,0.0,0.5453,0.067,1.0,0.0,0.573,0.0548,0.7434,0.1481
10.0,2,100,1.0,0.0,0.5862,0.0783,0.5716,0.1011,1.0,0.0,0.9353,0.0143,1.0,0.0,0.5453,0.067,1.0,0.0,0.573,0.0548,0.6226,0.217
1.0,2,100,1.0,0.0,0.5862,0.0783,0.5716,0.1011,1.0,0.0,0.9353,0.0143,1.0,0.0,0.5453,0.067,1.0,0.0,0.573,0.0548,0.6007,0.2373
50.0,2,100,1.0,0.0,0.5862,0.0783,0.5716,0.1011,1.0,0.0,0.9353,0.0143,1.0,0.0,0.5453,0.067,1.0,0.0,0.573,0.0548,0.6137,0.2488
25.0,2,100,1.0,0.0,0.5862,0.0783,0.5716,0.1011,1.0,0.0,0.9353,0.0143,1.0,0.0,0.5453,0.067,1.0,0.0,0.573,0.0548,0.6037,0.2428
0.05,2,100,1.0,0.0,0.5862,0.0783,0.5716,0.1011,1.0,0.0,0.9353,0.0143,1.0,0.0,0.5453,0.067,1.0,0.0,0.573,0.0548,0.8169,0.6277
0.1,2,100,1.0,0.0,0.5862,0.0783,0.5716,0.1011,1.0,0.0,0.9353,0.0143,1.0,0.0,0.5453,0.067,1.0,0.0,0.573,0.0548,0.6084,0.2276
100.0,2,100,1.0,0.0,0.5862,0.0783,0.5716,0.1011,1.0,0.0,0.9353,0.0143,1.0,0.0,0.5453,0.067,1.0,0.0,0.573,0.0548,0.8241,0.6146
