params_eta,params_gamma,params_lambda,params_max_depth,params_scale_pos_weight,param_n_estimators_mean,param_n_estimators_std,tr_pr_auc_mean,tr_pr_auc_std,te_pr_auc_mean,te_pr_auc_std,adj_pr_auc_mean,adj_pr_auc_std,tr_roc_auc_mean,tr_roc_auc_std,te_roc_auc_mean,te_roc_auc_std,tr_recall_mean,tr_recall_std,te_recall_mean,te_recall_std,tr_precision_mean,tr_precision_std,te_precision_mean,te_precision_std,time_mean,time_std
0.025,0.1,0.1,4,False,165.2,36.96214279502746,0.9772,0.0137,0.7399,0.0846,0.7303,0.1041,0.9988,0.0007,0.9794,0.0079,0.834,0.0389,0.4793,0.1353,0.971,0.0186,0.7546,0.0913,1.0695,0.221
0.025,0.5,1.0,3,False,197.2,61.04260807010133,0.92,0.0324,0.7398,0.0877,0.7293,0.1088,0.9956,0.0019,0.9796,0.0088,0.7044,0.0702,0.4912,0.1127,0.9222,0.0365,0.7883,0.1135,0.9725,0.2476
0.075,1.0,0.1,2,True,238.4,48.81393243736874,0.9526,0.0275,0.7398,0.0841,0.7261,0.1118,0.998,0.0012,0.9802,0.008,1.0,0.0,0.8631,0.0574,0.5561,0.0722,0.4595,0.0413,1.1448,0.4337
0.025,0.1,0.75,3,False,220.4,81.30375145096319,0.9323,0.0355,0.7397,0.0785,0.7289,0.0982,0.9963,0.002,0.9797,0.008,0.7321,0.0814,0.4959,0.0936,0.9276,0.0384,0.7864,0.113,1.0353,0.3285
0.075,0.1,0.5,3,True,217.6,32.439173848912986,0.9968,0.0045,0.7394,0.0723,0.7252,0.099,0.9999,0.0002,0.9809,0.0082,1.0,0.0,0.7915,0.064,0.7663,0.1247,0.5467,0.0289,1.3361,0.4502
0.025,0.1,1.0,3,False,200.0,67.10439627923047,0.9214,0.0345,0.7394,0.0879,0.7284,0.1085,0.9957,0.002,0.9795,0.0087,0.709,0.076,0.4848,0.1071,0.9195,0.0323,0.7868,0.1125,0.9851,0.2835
0.1,0.75,1.0,3,True,173.2,30.111459612579395,0.9983,0.0035,0.7393,0.0691,0.719,0.1008,0.9999,0.0001,0.9812,0.0081,1.0,0.0,0.7913,0.0647,0.774,0.1091,0.5614,0.0259,1.1901,0.3748
0.075,0.1,0.1,5,False,56.2,18.86001060445089,0.9956,0.0052,0.7392,0.0714,0.7321,0.0877,0.9998,0.0003,0.9791,0.007,0.9294,0.0568,0.5097,0.1452,0.99,0.0112,0.7532,0.0661,0.8806,0.2463
0.1,0.1,0.75,3,True,162.0,30.438462510448847,0.9985,0.0025,0.7391,0.0812,0.727,0.1068,0.9999,0.0001,0.9801,0.0092,1.0,0.0,0.7888,0.0796,0.7393,0.065,0.5286,0.0294,0.927,0.2902
0.125,1.0,0.75,2,False,63.2,23.069460331789298,0.8756,0.0362,0.7391,0.0739,0.729,0.0963,0.9927,0.002,0.9779,0.0089,0.6354,0.0593,0.4984,0.0684,0.8803,0.0363,0.814,0.1367,0.5908,0.088
